location_id,sensor_id,location,datetime,lat,lon,parameter,unit,value
195,325,Houston Park Place C,2025-06-08T00:00:00Z,29.68639,-95.294724,o3,ppm,0.047
195,325,Houston Park Place C,2025-06-08T01:00:00Z,29.68639,-95.294724,o3,ppm,0.041
195,325,Houston Park Place C,2025-06-08T02:00:00Z,29.68639,-95.294724,o3,ppm,0.051
195,325,Houston Park Place C,2025-06-08T03:00:00Z,29.68639,-95.294724,o3,ppm,0.05
195,325,Houston Park Place C,2025-06-08T05:00:00Z,29.68639,-95.294724,o3,ppm,0.058
195,325,Houston Park Place C,2025-06-08T06:00:00Z,29.68639,-95.294724,o3,ppm,0.047
195,325,Houston Park Place C,2025-06-08T07:00:00Z,29.68639,-95.294724,o3,ppm,0.061
195,325,Houston Park Place C,2025-06-08T08:00:00Z,29.68639,-95.294724,o3,ppm,0.061
195,325,Houston Park Place C,2025-06-08T09:00:00Z,29.68639,-95.294724,o3,ppm,0.07
195,325,Houston Park Place C,2025-06-08T10:00:00Z,29.68639,-95.294724,o3,ppm,0.037
195,325,Houston Park Place C,2025-06-08T11:00:00Z,29.68639,-95.294724,o3,ppm,0.053
195,325,Houston Park Place C,2025-06-08T12:00:00Z,29.68639,-95.294724,o3,ppm,0.132
195,325,Houston Park Place C,2025-06-08T13:00:00Z,29.68639,-95.294724,o3,ppm,0.074
195,325,Houston Park Place C,2025-06-08T14:00:00Z,29.68639,-95.294724,o3,ppm,0.027
195,325,Houston Park Place C,2025-06-08T15:00:00Z,29.68639,-95.294724,o3,ppm,0.018
195,325,Houston Park Place C,2025-06-08T16:00:00Z,29.68639,-95.294724,o3,ppm,0.02
195,325,Houston Park Place C,2025-06-08T17:00:00Z,29.68639,-95.294724,o3,ppm,0.028
195,325,Houston Park Place C,2025-06-08T18:00:00Z,29.68639,-95.294724,o3,ppm,0.027
195,325,Houston Park Place C,2025-06-08T19:00:00Z,29.68639,-95.294724,o3,ppm,0.02
195,325,Houston Park Place C,2025-06-08T20:00:00Z,29.68639,-95.294724,o3,ppm,0.031
195,325,Houston Park Place C,2025-06-08T21:00:00Z,29.68639,-95.294724,o3,ppm,0.029
195,325,Houston Park Place C,2025-06-08T22:00:00Z,29.68639,-95.294724,o3,ppm,0.028
195,325,Houston Park Place C,2025-06-08T23:00:00Z,29.68639,-95.294724,o3,ppm,0.022
195,325,Houston Park Place C,2025-06-09T00:00:00Z,29.68639,-95.294724,o3,ppm,0.022
195,325,Houston Park Place C,2025-06-09T01:00:00Z,29.68639,-95.294724,o3,ppm,0.021
195,325,Houston Park Place C,2025-06-09T02:00:00Z,29.68639,-95.294724,o3,ppm,0.025
195,325,Houston Park Place C,2025-06-09T03:00:00Z,29.68639,-95.294724,o3,ppm,0.021
195,325,Houston Park Place C,2025-06-09T04:00:00Z,29.68639,-95.294724,o3,ppm,0.018
195,325,Houston Park Place C,2025-06-09T06:00:00Z,29.68639,-95.294724,o3,ppm,0.036
195,325,Houston Park Place C,2025-06-09T07:00:00Z,29.68639,-95.294724,o3,ppm,0.043
195,325,Houston Park Place C,2025-06-09T08:00:00Z,29.68639,-95.294724,o3,ppm,0.046
195,325,Houston Park Place C,2025-06-09T09:00:00Z,29.68639,-95.294724,o3,ppm,0.037
195,325,Houston Park Place C,2025-06-09T10:00:00Z,29.68639,-95.294724,o3,ppm,0.051
195,325,Houston Park Place C,2025-06-09T11:00:00Z,29.68639,-95.294724,o3,ppm,0.02
195,325,Houston Park Place C,2025-06-09T12:00:00Z,29.68639,-95.294724,o3,ppm,0.022
195,325,Houston Park Place C,2025-06-09T13:00:00Z,29.68639,-95.294724,o3,ppm,0.04
195,325,Houston Park Place C,2025-06-09T14:00:00Z,29.68639,-95.294724,o3,ppm,0.043
195,325,Houston Park Place C,2025-06-09T15:00:00Z,29.68639,-95.294724,o3,ppm,0.042
195,325,Houston Park Place C,2025-06-09T16:00:00Z,29.68639,-95.294724,o3,ppm,0.052
195,325,Houston Park Place C,2025-06-09T17:00:00Z,29.68639,-95.294724,o3,ppm,0.051
195,325,Houston Park Place C,2025-06-09T18:00:00Z,29.68639,-95.294724,o3,ppm,0.045
195,325,Houston Park Place C,2025-06-09T19:00:00Z,29.68639,-95.294724,o3,ppm,0.046
195,325,Houston Park Place C,2025-06-09T20:00:00Z,29.68639,-95.294724,o3,ppm,0.037
