location_id,sensor_id,location,datetime,lat,lon,parameter,unit,value
191,5077638,Seabrook Friendship,2025-06-08T00:00:00Z,29.5831,-95.0156,pm25,µg/m³,12.1
191,5077638,Seabrook Friendship,2025-06-08T01:00:00Z,29.5831,-95.0156,pm25,µg/m³,13.5
191,5077638,Seabrook Friendship,2025-06-08T02:00:00Z,29.5831,-95.0156,pm25,µg/m³,13.7
191,5077638,Seabrook Friendship,2025-06-08T03:00:00Z,29.5831,-95.0156,pm25,µg/m³,13.8
191,5077638,Seabrook Friendship,2025-06-08T04:00:00Z,29.5831,-95.0156,pm25,µg/m³,16.7
191,5077638,Seabrook Friendship,2025-06-08T05:00:00Z,29.5831,-95.0156,pm25,µg/m³,16.7
191,5077638,Seabrook Friendship,2025-06-08T06:00:00Z,29.5831,-95.0156,pm25,µg/m³,15.3
191,5077638,Seabrook Friendship,2025-06-08T07:00:00Z,29.5831,-95.0156,pm25,µg/m³,12.7
191,5077638,Seabrook Friendship,2025-06-08T08:00:00Z,29.5831,-95.0156,pm25,µg/m³,16.4
191,5077638,Seabrook Friendship,2025-06-08T09:00:00Z,29.5831,-95.0156,pm25,µg/m³,12.6
191,5077638,Seabrook Friendship,2025-06-08T10:00:00Z,29.5831,-95.0156,pm25,µg/m³,14.3
191,5077638,Seabrook Friendship,2025-06-08T11:00:00Z,29.5831,-95.0156,pm25,µg/m³,10.8
191,5077638,Seabrook Friendship,2025-06-08T12:00:00Z,29.5831,-95.0156,pm25,µg/m³,14.1
191,5077638,Seabrook Friendship,2025-06-08T13:00:00Z,29.5831,-95.0156,pm25,µg/m³,14.8
191,5077638,Seabrook Friendship,2025-06-08T14:00:00Z,29.5831,-95.0156,pm25,µg/m³,10.6
191,5077638,Seabrook Friendship,2025-06-08T15:00:00Z,29.5831,-95.0156,pm25,µg/m³,14.5
191,5077638,Seabrook Friendship,2025-06-08T16:00:00Z,29.5831,-95.0156,pm25,µg/m³,9.0
191,5077638,Seabrook Friendship,2025-06-08T17:00:00Z,29.5831,-95.0156,pm25,µg/m³,9.2
191,5077638,Seabrook Friendship,2025-06-08T18:00:00Z,29.5831,-95.0156,pm25,µg/m³,9.4
191,5077638,Seabrook Friendship,2025-06-08T19:00:00Z,29.5831,-95.0156,pm25,µg/m³,7.3
191,5077638,Seabrook Friendship,2025-06-08T20:00:00Z,29.5831,-95.0156,pm25,µg/m³,7.2
191,5077638,Seabrook Friendship,2025-06-08T21:00:00Z,29.5831,-95.0156,pm25,µg/m³,9.7
191,5077638,Seabrook Friendship,2025-06-08T22:00:00Z,29.5831,-95.0156,pm25,µg/m³,10.7
191,5077791,Seabrook Friendship,2025-06-08T00:00:00Z,29.5831,-95.0156,o3,ppm,0.022
191,5077791,Seabrook Friendship,2025-06-08T01:00:00Z,29.5831,-95.0156,o3,ppm,0.019
191,5077791,Seabrook Friendship,2025-06-08T02:00:00Z,29.5831,-95.0156,o3,ppm,0.018
191,5077791,Seabrook Friendship,2025-06-08T03:00:00Z,29.5831,-95.0156,o3,ppm,0.016
191,5077791,Seabrook Friendship,2025-06-08T05:00:00Z,29.5831,-95.0156,o3,ppm,0.015
191,5077791,Seabrook Friendship,2025-06-08T06:00:00Z,29.5831,-95.0156,o3,ppm,0.015
191,5077791,Seabrook Friendship,2025-06-08T07:00:00Z,29.5831,-95.0156,o3,ppm,0.016
191,5077791,Seabrook Friendship,2025-06-08T08:00:00Z,29.5831,-95.0156,o3,ppm,0.013
191,5077791,Seabrook Friendship,2025-06-08T09:00:00Z,29.5831,-95.0156,o3,ppm,0.01
191,5077791,Seabrook Friendship,2025-06-08T10:00:00Z,29.5831,-95.0156,o3,ppm,0.011
191,5077791,Seabrook Friendship,2025-06-08T11:00:00Z,29.5831,-95.0156,o3,ppm,0.012
191,5077791,Seabrook Friendship,2025-06-08T12:00:00Z,29.5831,-95.0156,o3,ppm,0.015
191,5077791,Seabrook Friendship,2025-06-08T13:00:00Z,29.5831,-95.0156,o3,ppm,0.018
191,5077791,Seabrook Friendship,2025-06-08T14:00:00Z,29.5831,-95.0156,o3,ppm,0.02
191,5077791,Seabrook Friendship,2025-06-08T15:00:00Z,29.5831,-95.0156,o3,ppm,0.022
191,5077791,Seabrook Friendship,2025-06-08T16:00:00Z,29.5831,-95.0156,o3,ppm,0.022
