location_id,sensor_id,location,datetime,lat,lon,parameter,unit,value
187,311,Houston Bayland Park,2025-06-09T07:00:00Z,29.6958,-95.4992,o3,ppm,0.018
187,311,Houston Bayland Park,2025-06-09T08:00:00Z,29.6958,-95.4992,o3,ppm,0.016
187,311,Houston Bayland Park,2025-06-09T09:00:00Z,29.6958,-95.4992,o3,ppm,0.019
187,311,Houston Bayland Park,2025-06-09T10:00:00Z,29.6958,-95.4992,o3,ppm,0.016
187,311,Houston Bayland Park,2025-06-09T11:00:00Z,29.6958,-95.4992,o3,ppm,0.01
187,311,Houston Bayland Park,2025-06-09T12:00:00Z,29.6958,-95.4992,o3,ppm,0.029
187,311,Houston Bayland Park,2025-06-09T13:00:00Z,29.6958,-95.4992,o3,ppm,0.038
187,311,Houston Bayland Park,2025-06-09T15:00:00Z,29.6958,-95.4992,o3,ppm,0.042
187,311,Houston Bayland Park,2025-06-09T16:00:00Z,29.6958,-95.4992,o3,ppm,0.049
187,311,Houston Bayland Park,2025-06-09T17:00:00Z,29.6958,-95.4992,o3,ppm,0.051
187,311,Houston Bayland Park,2025-06-09T18:00:00Z,29.6958,-95.4992,o3,ppm,0.044
187,311,Houston Bayland Park,2025-06-09T19:00:00Z,29.6958,-95.4992,o3,ppm,0.039
187,311,Houston Bayland Park,2025-06-09T20:00:00Z,29.6958,-95.4992,o3,ppm,0.038
187,311,Houston Bayland Park,2025-06-09T21:00:00Z,29.6958,-95.4992,o3,ppm,0.035
